#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,mean,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2024-12-16T20:22:50.3664168Z,2024-12-16T20:37:50.3664168Z,2024-12-16T20:28:40Z,21.8,Temperature1,room1
,,0,2024-12-16T20:22:50.3664168Z,2024-12-16T20:37:50.3664168Z,2024-12-16T20:28:50Z,21.974999999999998,Temperature1,room1
,,0,2024-12-16T20:22:50.3664168Z,2024-12-16T20:37:50.3664168Z,2024-12-16T20:29:00Z,23.085714285714285,Temperature1,room1
,,0,2024-12-16T20:22:50.3664168Z,2024-12-16T20:37:50.3664168Z,2024-12-16T20:29:10Z,25.037499999999998,Temperature1,room1
,,0,2024-12-16T20:22:50.3664168Z,2024-12-16T20:37:50.3664168Z,2024-12-16T20:29:20Z,27.275000000000002,Temperature1,room1
,,0,2024-12-16T20:22:50.3664168Z,2024-12-16T20:37:50.3664168Z,2024-12-16T20:29:30Z,28.6625,Temperature1,room1
,,0,2024-12-16T20:22:50.3664168Z,2024-12-16T20:37:50.3664168Z,2024-12-16T20:29:40Z,28.400000000000002,Temperature1,room1
,,0,2024-12-16T20:22:50.3664168Z,2024-12-16T20:37:50.3664168Z,2024-12-16T20:29:50Z,28.174999999999997,Temperature1,room1
,,0,2024-12-16T20:22:50.3664168Z,2024-12-16T20:37:50.3664168Z,2024-12-16T20:30:00Z,27.9875,Temperature1,room1
,,0,2024-12-16T20:22:50.3664168Z,2024-12-16T20:37:50.3664168Z,2024-12-16T20:30:10Z,27.837500000000002,Temperature1,room1
,,0,2024-12-16T20:22:50.3664168Z,2024-12-16T20:37:50.3664168Z,2024-12-16T20:30:20Z,27.599999999999998,Temperature1,room1
,,0,2024-12-16T20:22:50.3664168Z,2024-12-16T20:37:50.3664168Z,2024-12-16T20:30:30Z,27.350000000000005,Temperature1,room1
,,0,2024-12-16T20:22:50.3664168Z,2024-12-16T20:37:50.3664168Z,2024-12-16T20:30:40Z,27.15,Temperature1,room1
,,0,2024-12-16T20:22:50.3664168Z,2024-12-16T20:37:50.3664168Z,2024-12-16T20:30:50Z,26.937500000000004,Temperature1,room1
,,0,2024-12-16T20:22:50.3664168Z,2024-12-16T20:37:50.3664168Z,2024-12-16T20:31:00Z,26.928571428571427,Temperature1,room1
,,0,2024-12-16T20:22:50.3664168Z,2024-12-16T20:37:50.3664168Z,2024-12-16T20:31:10Z,27.049999999999997,Temperature1,room1
,,0,2024-12-16T20:22:50.3664168Z,2024-12-16T20:37:50.3664168Z,2024-12-16T20:31:20Z,27.225000000000005,Temperature1,room1
,,0,2024-12-16T20:22:50.3664168Z,2024-12-16T20:37:50.3664168Z,2024-12-16T20:31:30Z,27.400000000000002,Temperature1,room1
,,0,2024-12-16T20:22:50.3664168Z,2024-12-16T20:37:50.3664168Z,2024-12-16T20:31:40Z,27.5,Temperature1,room1
,,0,2024-12-16T20:22:50.3664168Z,2024-12-16T20:37:50.3664168Z,2024-12-16T20:31:50Z,27.54285714285714,Temperature1,room1
,,0,2024-12-16T20:22:50.3664168Z,2024-12-16T20:37:50.3664168Z,2024-12-16T20:32:00Z,27.662499999999998,Temperature1,room1
,,0,2024-12-16T20:22:50.3664168Z,2024-12-16T20:37:50.3664168Z,2024-12-16T20:32:10Z,27.714285714285715,Temperature1,room1
,,0,2024-12-16T20:22:50.3664168Z,2024-12-16T20:37:50.3664168Z,2024-12-16T20:32:20Z,27.887500000000003,Temperature1,room1
,,0,2024-12-16T20:22:50.3664168Z,2024-12-16T20:37:50.3664168Z,2024-12-16T20:32:30Z,28.212500000000006,Temperature1,room1
,,0,2024-12-16T20:22:50.3664168Z,2024-12-16T20:37:50.3664168Z,2024-12-16T20:32:40Z,28.5125,Temperature1,room1
,,0,2024-12-16T20:22:50.3664168Z,2024-12-16T20:37:50.3664168Z,2024-12-16T20:32:50Z,28.742857142857144,Temperature1,room1
,,0,2024-12-16T20:22:50.3664168Z,2024-12-16T20:37:50.3664168Z,2024-12-16T20:33:00Z,28.85,Temperature1,room1
,,0,2024-12-16T20:22:50.3664168Z,2024-12-16T20:37:50.3664168Z,2024-12-16T20:33:10Z,28.900000000000002,Temperature1,room1
,,0,2024-12-16T20:22:50.3664168Z,2024-12-16T20:37:50.3664168Z,2024-12-16T20:33:20Z,28.9625,Temperature1,room1
,,0,2024-12-16T20:22:50.3664168Z,2024-12-16T20:37:50.3664168Z,2024-12-16T20:33:30Z,29,Temperature1,room1
,,0,2024-12-16T20:22:50.3664168Z,2024-12-16T20:37:50.3664168Z,2024-12-16T20:33:40Z,29.062499999999996,Temperature1,room1
,,0,2024-12-16T20:22:50.3664168Z,2024-12-16T20:37:50.3664168Z,2024-12-16T20:33:50Z,29.0875,Temperature1,room1
,,0,2024-12-16T20:22:50.3664168Z,2024-12-16T20:37:50.3664168Z,2024-12-16T20:34:00Z,29.025,Temperature1,room1
,,0,2024-12-16T20:22:50.3664168Z,2024-12-16T20:37:50.3664168Z,2024-12-16T20:34:10Z,28.975,Temperature1,room1
