#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,mean,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2024-12-16T20:23:54.7824925Z,2024-12-16T20:38:54.7824925Z,2024-12-16T20:28:40Z,98507.408,Pressure2,room2
,,0,2024-12-16T20:23:54.7824925Z,2024-12-16T20:38:54.7824925Z,2024-12-16T20:28:50Z,98507.6075,Pressure2,room2
,,0,2024-12-16T20:23:54.7824925Z,2024-12-16T20:38:54.7824925Z,2024-12-16T20:29:00Z,98505.09857142856,Pressure2,room2
,,0,2024-12-16T20:23:54.7824925Z,2024-12-16T20:38:54.7824925Z,2024-12-16T20:29:10Z,98502.46250000001,Pressure2,room2
,,0,2024-12-16T20:23:54.7824925Z,2024-12-16T20:38:54.7824925Z,2024-12-16T20:29:20Z,98502.85875000001,Pressure2,room2
,,0,2024-12-16T20:23:54.7824925Z,2024-12-16T20:38:54.7824925Z,2024-12-16T20:29:30Z,98501.33374999999,Pressure2,room2
,,0,2024-12-16T20:23:54.7824925Z,2024-12-16T20:38:54.7824925Z,2024-12-16T20:29:40Z,98498.45571428572,Pressure2,room2
,,0,2024-12-16T20:23:54.7824925Z,2024-12-16T20:38:54.7824925Z,2024-12-16T20:29:50Z,98496.90000000001,Pressure2,room2
,,0,2024-12-16T20:23:54.7824925Z,2024-12-16T20:38:54.7824925Z,2024-12-16T20:30:00Z,98497.07625000001,Pressure2,room2
,,0,2024-12-16T20:23:54.7824925Z,2024-12-16T20:38:54.7824925Z,2024-12-16T20:30:10Z,98494.61499999999,Pressure2,room2
,,0,2024-12-16T20:23:54.7824925Z,2024-12-16T20:38:54.7824925Z,2024-12-16T20:30:20Z,98494.08857142857,Pressure2,room2
,,0,2024-12-16T20:23:54.7824925Z,2024-12-16T20:38:54.7824925Z,2024-12-16T20:30:30Z,98494.78625,Pressure2,room2
,,0,2024-12-16T20:23:54.7824925Z,2024-12-16T20:38:54.7824925Z,2024-12-16T20:30:40Z,98492.8225,Pressure2,room2
,,0,2024-12-16T20:23:54.7824925Z,2024-12-16T20:38:54.7824925Z,2024-12-16T20:30:50Z,98497.48375,Pressure2,room2
,,0,2024-12-16T20:23:54.7824925Z,2024-12-16T20:38:54.7824925Z,2024-12-16T20:31:00Z,98498.87857142858,Pressure2,room2
,,0,2024-12-16T20:23:54.7824925Z,2024-12-16T20:38:54.7824925Z,2024-12-16T20:31:10Z,98498.7875,Pressure2,room2
,,0,2024-12-16T20:23:54.7824925Z,2024-12-16T20:38:54.7824925Z,2024-12-16T20:31:20Z,98501.0875,Pressure2,room2
,,0,2024-12-16T20:23:54.7824925Z,2024-12-16T20:38:54.7824925Z,2024-12-16T20:31:30Z,98502.52375,Pressure2,room2
,,0,2024-12-16T20:23:54.7824925Z,2024-12-16T20:38:54.7824925Z,2024-12-16T20:31:40Z,98500.69428571429,Pressure2,room2
,,0,2024-12-16T20:23:54.7824925Z,2024-12-16T20:38:54.7824925Z,2024-12-16T20:31:50Z,98501.52124999999,Pressure2,room2
,,0,2024-12-16T20:23:54.7824925Z,2024-12-16T20:38:54.7824925Z,2024-12-16T20:32:00Z,98502.98875,Pressure2,room2
,,0,2024-12-16T20:23:54.7824925Z,2024-12-16T20:38:54.7824925Z,2024-12-16T20:32:10Z,98504.42285714285,Pressure2,room2
,,0,2024-12-16T20:23:54.7824925Z,2024-12-16T20:38:54.7824925Z,2024-12-16T20:32:20Z,98497.4825,Pressure2,room2
,,0,2024-12-16T20:23:54.7824925Z,2024-12-16T20:38:54.7824925Z,2024-12-16T20:32:30Z,98500.04375000001,Pressure2,room2
,,0,2024-12-16T20:23:54.7824925Z,2024-12-16T20:38:54.7824925Z,2024-12-16T20:32:40Z,98504.58625000001,Pressure2,room2
,,0,2024-12-16T20:23:54.7824925Z,2024-12-16T20:38:54.7824925Z,2024-12-16T20:32:50Z,98501.20142857144,Pressure2,room2
,,0,2024-12-16T20:23:54.7824925Z,2024-12-16T20:38:54.7824925Z,2024-12-16T20:33:00Z,98503.55750000002,Pressure2,room2
,,0,2024-12-16T20:23:54.7824925Z,2024-12-16T20:38:54.7824925Z,2024-12-16T20:33:10Z,98507.14374999999,Pressure2,room2
,,0,2024-12-16T20:23:54.7824925Z,2024-12-16T20:38:54.7824925Z,2024-12-16T20:33:20Z,98505.19875,Pressure2,room2
,,0,2024-12-16T20:23:54.7824925Z,2024-12-16T20:38:54.7824925Z,2024-12-16T20:33:30Z,98503.70571428571,Pressure2,room2
,,0,2024-12-16T20:23:54.7824925Z,2024-12-16T20:38:54.7824925Z,2024-12-16T20:33:40Z,98502.95999999999,Pressure2,room2
,,0,2024-12-16T20:23:54.7824925Z,2024-12-16T20:38:54.7824925Z,2024-12-16T20:33:50Z,98501.495,Pressure2,room2
,,0,2024-12-16T20:23:54.7824925Z,2024-12-16T20:38:54.7824925Z,2024-12-16T20:34:00Z,98502.03749999999,Pressure2,room2
,,0,2024-12-16T20:23:54.7824925Z,2024-12-16T20:38:54.7824925Z,2024-12-16T20:34:10Z,98500.765,Pressure2,room2
,,0,2024-12-16T20:23:54.7824925Z,2024-12-16T20:38:54.7824925Z,2024-12-16T20:34:20Z,98491.28571428571,Pressure2,room2
,,0,2024-12-16T20:23:54.7824925Z,2024-12-16T20:38:54.7824925Z,2024-12-16T20:34:30Z,98504.39625,Pressure2,room2
,,0,2024-12-16T20:23:54.7824925Z,2024-12-16T20:38:54.7824925Z,2024-12-16T20:34:40Z,98503.3,Pressure2,room2
,,0,2024-12-16T20:23:54.7824925Z,2024-12-16T20:38:54.7824925Z,2024-12-16T20:34:50Z,98503.66125,Pressure2,room2
,,0,2024-12-16T20:23:54.7824925Z,2024-12-16T20:38:54.7824925Z,2024-12-16T20:35:00Z,98502.04571428572,Pressure2,room2
,,0,2024-12-16T20:23:54.7824925Z,2024-12-16T20:38:54.7824925Z,2024-12-16T20:35:10Z,98506.16124999999,Pressure2,room2
,,0,2024-12-16T20:23:54.7824925Z,2024-12-16T20:38:54.7824925Z,2024-12-16T20:35:20Z,98502.345,Pressure2,room2
,,0,2024-12-16T20:23:54.7824925Z,2024-12-16T20:38:54.7824925Z,2024-12-16T20:35:30Z,98501.16285714286,Pressure2,room2
,,0,2024-12-16T20:23:54.7824925Z,2024-12-16T20:38:54.7824925Z,2024-12-16T20:35:40Z,98505.48874999999,Pressure2,room2
,,0,2024-12-16T20:23:54.7824925Z,2024-12-16T20:38:54.7824925Z,2024-12-16T20:35:50Z,98502.21624999998,Pressure2,room2
,,0,2024-12-16T20:23:54.7824925Z,2024-12-16T20:38:54.7824925Z,2024-12-16T20:36:00Z,98497.06285714285,Pressure2,room2
,,0,2024-12-16T20:23:54.7824925Z,2024-12-16T20:38:54.7824925Z,2024-12-16T20:36:10Z,98496.40125,Pressure2,room2
,,0,2024-12-16T20:23:54.7824925Z,2024-12-16T20:38:54.7824925Z,2024-12-16T20:36:20Z,98489.41625,Pressure2,room2
,,0,2024-12-16T20:23:54.7824925Z,2024-12-16T20:38:54.7824925Z,2024-12-16T20:36:30Z,98489.3625,Pressure2,room2
,,0,2024-12-16T20:23:54.7824925Z,2024-12-16T20:38:54.7824925Z,2024-12-16T20:36:40Z,98485.33142857142,Pressure2,room2
,,0,2024-12-16T20:23:54.7824925Z,2024-12-16T20:38:54.7824925Z,2024-12-16T20:36:50Z,98490.33125,Pressure2,room2
,,0,2024-12-16T20:23:54.7824925Z,2024-12-16T20:38:54.7824925Z,2024-12-16T20:37:00Z,98504.53125,Pressure2,room2
,,0,2024-12-16T20:23:54.7824925Z,2024-12-16T20:38:54.7824925Z,2024-12-16T20:37:10Z,98502.85333333333,Pressure2,room2

