#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,mean,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2024-12-16T19:09:46.2979777Z,2024-12-16T19:24:46.2979777Z,2024-12-16T19:16:50Z,48.814285714285724,Humidity1,room1
,,0,2024-12-16T19:09:46.2979777Z,2024-12-16T19:24:46.2979777Z,2024-12-16T19:17:00Z,48.675000000000004,Humidity1,room1
,,0,2024-12-16T19:09:46.2979777Z,2024-12-16T19:24:46.2979777Z,2024-12-16T19:17:10Z,48.57142857142857,Humidity1,room1
,,0,2024-12-16T19:09:46.2979777Z,2024-12-16T19:24:46.2979777Z,2024-12-16T19:17:20Z,48.575,Humidity1,room1
,,0,2024-12-16T19:09:46.2979777Z,2024-12-16T19:24:46.2979777Z,2024-12-16T19:17:30Z,48.512499999999996,Humidity1,room1
,,0,2024-12-16T19:09:46.2979777Z,2024-12-16T19:24:46.2979777Z,2024-12-16T19:17:40Z,48.387499999999996,Humidity1,room1
,,0,2024-12-16T19:09:46.2979777Z,2024-12-16T19:24:46.2979777Z,2024-12-16T19:17:50Z,48.371428571428574,Humidity1,room1
,,0,2024-12-16T19:09:46.2979777Z,2024-12-16T19:24:46.2979777Z,2024-12-16T19:18:00Z,48.25,Humidity1,room1
,,0,2024-12-16T19:09:46.2979777Z,2024-12-16T19:24:46.2979777Z,2024-12-16T19:18:10Z,48.2125,Humidity1,room1
,,0,2024-12-16T19:09:46.2979777Z,2024-12-16T19:24:46.2979777Z,2024-12-16T19:18:20Z,48.2125,Humidity1,room1
,,0,2024-12-16T19:09:46.2979777Z,2024-12-16T19:24:46.2979777Z,2024-12-16T19:18:30Z,48.199999999999996,Humidity1,room1
,,0,2024-12-16T19:09:46.2979777Z,2024-12-16T19:24:46.2979777Z,2024-12-16T19:18:40Z,48.199999999999996,Humidity1,room1
,,0,2024-12-16T19:09:46.2979777Z,2024-12-16T19:24:46.2979777Z,2024-12-16T19:18:50Z,48.16250000000001,Humidity1,room1
,,0,2024-12-16T19:09:46.2979777Z,2024-12-16T19:24:46.2979777Z,2024-12-16T19:19:00Z,48.10000000000001,Humidity1,room1
,,0,2024-12-16T19:09:46.2979777Z,2024-12-16T19:24:46.2979777Z,2024-12-16T19:19:10Z,48.087500000000006,Humidity1,room1
,,0,2024-12-16T19:09:46.2979777Z,2024-12-16T19:24:46.2979777Z,2024-12-16T19:19:20Z,48.07142857142857,Humidity1,room1
,,0,2024-12-16T19:09:46.2979777Z,2024-12-16T19:24:46.2979777Z,2024-12-16T19:19:30Z,48.0625,Humidity1,room1
,,0,2024-12-16T19:09:46.2979777Z,2024-12-16T19:24:46.2979777Z,2024-12-16T19:19:40Z,47.9875,Humidity1,room1
,,0,2024-12-16T19:09:46.2979777Z,2024-12-16T19:24:46.2979777Z,2024-12-16T19:19:50Z,48.01428571428572,Humidity1,room1
,,0,2024-12-16T19:09:46.2979777Z,2024-12-16T19:24:46.2979777Z,2024-12-16T19:20:00Z,48,Humidity1,room1
,,0,2024-12-16T19:09:46.2979777Z,2024-12-16T19:24:46.2979777Z,2024-12-16T19:20:10Z,47.949999999999996,Humidity1,room1
,,0,2024-12-16T19:09:46.2979777Z,2024-12-16T19:24:46.2979777Z,2024-12-16T19:20:20Z,47.8625,Humidity1,room1
,,0,2024-12-16T19:09:46.2979777Z,2024-12-16T19:24:46.2979777Z,2024-12-16T19:20:30Z,47.771428571428565,Humidity1,room1
,,0,2024-12-16T19:09:46.2979777Z,2024-12-16T19:24:46.2979777Z,2024-12-16T19:20:40Z,47.800000000000004,Humidity1,room1
,,0,2024-12-16T19:09:46.2979777Z,2024-12-16T19:24:46.2979777Z,2024-12-16T19:20:50Z,47.800000000000004,Humidity1,room1
,,0,2024-12-16T19:09:46.2979777Z,2024-12-16T19:24:46.2979777Z,2024-12-16T19:21:00Z,47.83749999999999,Humidity1,room1
,,0,2024-12-16T19:09:46.2979777Z,2024-12-16T19:24:46.2979777Z,2024-12-16T19:21:10Z,47.87142857142857,Humidity1,room1
,,0,2024-12-16T19:09:46.2979777Z,2024-12-16T19:24:46.2979777Z,2024-12-16T19:21:20Z,47.9,Humidity1,room1
,,0,2024-12-16T19:09:46.2979777Z,2024-12-16T19:24:46.2979777Z,2024-12-16T19:21:30Z,47.762499999999996,Humidity1,room1
,,0,2024-12-16T19:09:46.2979777Z,2024-12-16T19:24:46.2979777Z,2024-12-16T19:21:40Z,47.7375,Humidity1,room1
,,0,2024-12-16T19:09:46.2979777Z,2024-12-16T19:24:46.2979777Z,2024-12-16T19:21:50Z,47.714285714285715,Humidity1,room1
,,0,2024-12-16T19:09:46.2979777Z,2024-12-16T19:24:46.2979777Z,2024-12-16T19:22:00Z,47.62500000000001,Humidity1,room1
,,0,2024-12-16T19:09:46.2979777Z,2024-12-16T19:24:46.2979777Z,2024-12-16T19:22:10Z,47.587500000000006,Humidity1,room1
,,0,2024-12-16T19:09:46.2979777Z,2024-12-16T19:24:46.2979777Z,2024-12-16T19:22:20Z,47.55,Humidity1,room1
,,0,2024-12-16T19:09:46.2979777Z,2024-12-16T19:24:46.2979777Z,2024-12-16T19:22:30Z,47.55714285714286,Humidity1,room1
,,0,2024-12-16T19:09:46.2979777Z,2024-12-16T19:24:46.2979777Z,2024-12-16T19:22:40Z,47.53750000000001,Humidity1,room1
,,0,2024-12-16T19:09:46.2979777Z,2024-12-16T19:24:46.2979777Z,2024-12-16T19:22:50Z,47.675,Humidity1,room1
,,0,2024-12-16T19:09:46.2979777Z,2024-12-16T19:24:46.2979777Z,2024-12-16T19:23:00Z,47.724999999999994,Humidity1,room1
,,0,2024-12-16T19:09:46.2979777Z,2024-12-16T19:24:46.2979777Z,2024-12-16T19:23:10Z,48.185714285714276,Humidity1,room1
,,0,2024-12-16T19:09:46.2979777Z,2024-12-16T19:24:46.2979777Z,2024-12-16T19:23:20Z,48.43749999999999,Humidity1,room1
,,0,2024-12-16T19:09:46.2979777Z,2024-12-16T19:24:46.2979777Z,2024-12-16T19:23:30Z,48.575,Humidity1,room1
,,0,2024-12-16T19:09:46.2979777Z,2024-12-16T19:24:46.2979777Z,2024-12-16T19:23:40Z,48.885714285714286,Humidity1,room1
,,0,2024-12-16T19:09:46.2979777Z,2024-12-16T19:24:46.2979777Z,2024-12-16T19:23:50Z,48.54285714285714,Humidity1,room1

