#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,mean,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2024-12-16T19:09:26.2946776Z,2024-12-16T19:24:26.2946776Z,2024-12-16T19:16:50Z,21.657142857142855,Temperature1,room1
,,0,2024-12-16T19:09:26.2946776Z,2024-12-16T19:24:26.2946776Z,2024-12-16T19:17:00Z,21.699999999999996,Temperature1,room1
,,0,2024-12-16T19:09:26.2946776Z,2024-12-16T19:24:26.2946776Z,2024-12-16T19:17:10Z,21.699999999999996,Temperature1,room1
,,0,2024-12-16T19:09:26.2946776Z,2024-12-16T19:24:26.2946776Z,2024-12-16T19:17:20Z,21.762500000000003,Temperature1,room1
,,0,2024-12-16T19:09:26.2946776Z,2024-12-16T19:24:26.2946776Z,2024-12-16T19:17:30Z,21.800000000000004,Temperature1,room1
,,0,2024-12-16T19:09:26.2946776Z,2024-12-16T19:24:26.2946776Z,2024-12-16T19:17:40Z,21.800000000000004,Temperature1,room1
,,0,2024-12-16T19:09:26.2946776Z,2024-12-16T19:24:26.2946776Z,2024-12-16T19:17:50Z,21.800000000000004,Temperature1,room1
,,0,2024-12-16T19:09:26.2946776Z,2024-12-16T19:24:26.2946776Z,2024-12-16T19:18:00Z,21.800000000000004,Temperature1,room1
,,0,2024-12-16T19:09:26.2946776Z,2024-12-16T19:24:26.2946776Z,2024-12-16T19:18:10Z,21.800000000000004,Temperature1,room1
,,0,2024-12-16T19:09:26.2946776Z,2024-12-16T19:24:26.2946776Z,2024-12-16T19:18:20Z,21.800000000000004,Temperature1,room1
,,0,2024-12-16T19:09:26.2946776Z,2024-12-16T19:24:26.2946776Z,2024-12-16T19:18:30Z,21.800000000000004,Temperature1,room1
,,0,2024-12-16T19:09:26.2946776Z,2024-12-16T19:24:26.2946776Z,2024-12-16T19:18:40Z,21.800000000000004,Temperature1,room1
,,0,2024-12-16T19:09:26.2946776Z,2024-12-16T19:24:26.2946776Z,2024-12-16T19:18:50Z,21.800000000000004,Temperature1,room1
,,0,2024-12-16T19:09:26.2946776Z,2024-12-16T19:24:26.2946776Z,2024-12-16T19:19:00Z,21.800000000000004,Temperature1,room1
,,0,2024-12-16T19:09:26.2946776Z,2024-12-16T19:24:26.2946776Z,2024-12-16T19:19:10Z,21.800000000000004,Temperature1,room1
,,0,2024-12-16T19:09:26.2946776Z,2024-12-16T19:24:26.2946776Z,2024-12-16T19:19:20Z,21.800000000000004,Temperature1,room1
,,0,2024-12-16T19:09:26.2946776Z,2024-12-16T19:24:26.2946776Z,2024-12-16T19:19:30Z,21.800000000000004,Temperature1,room1
,,0,2024-12-16T19:09:26.2946776Z,2024-12-16T19:24:26.2946776Z,2024-12-16T19:19:40Z,21.800000000000004,Temperature1,room1
,,0,2024-12-16T19:09:26.2946776Z,2024-12-16T19:24:26.2946776Z,2024-12-16T19:19:50Z,21.800000000000004,Temperature1,room1
,,0,2024-12-16T19:09:26.2946776Z,2024-12-16T19:24:26.2946776Z,2024-12-16T19:20:00Z,21.800000000000004,Temperature1,room1
,,0,2024-12-16T19:09:26.2946776Z,2024-12-16T19:24:26.2946776Z,2024-12-16T19:20:10Z,21.800000000000004,Temperature1,room1
,,0,2024-12-16T19:09:26.2946776Z,2024-12-16T19:24:26.2946776Z,2024-12-16T19:20:20Z,21.7875,Temperature1,room1
,,0,2024-12-16T19:09:26.2946776Z,2024-12-16T19:24:26.2946776Z,2024-12-16T19:20:30Z,21.800000000000004,Temperature1,room1
,,0,2024-12-16T19:09:26.2946776Z,2024-12-16T19:24:26.2946776Z,2024-12-16T19:20:40Z,21.7625,Temperature1,room1
,,0,2024-12-16T19:09:26.2946776Z,2024-12-16T19:24:26.2946776Z,2024-12-16T19:20:50Z,21.724999999999994,Temperature1,room1
,,0,2024-12-16T19:09:26.2946776Z,2024-12-16T19:24:26.2946776Z,2024-12-16T19:21:00Z,21.712499999999995,Temperature1,room1
,,0,2024-12-16T19:09:26.2946776Z,2024-12-16T19:24:26.2946776Z,2024-12-16T19:21:10Z,21.74285714285714,Temperature1,room1
,,0,2024-12-16T19:09:26.2946776Z,2024-12-16T19:24:26.2946776Z,2024-12-16T19:21:20Z,21.750000000000004,Temperature1,room1
,,0,2024-12-16T19:09:26.2946776Z,2024-12-16T19:24:26.2946776Z,2024-12-16T19:21:30Z,21.724999999999998,Temperature1,room1
