#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,mean,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2024-12-16T19:10:22.9851301Z,2024-12-16T19:25:22.9851301Z,2024-12-16T19:16:50Z,98424.59571428572,Pressure2,room2
,,0,2024-12-16T19:10:22.9851301Z,2024-12-16T19:25:22.9851301Z,2024-12-16T19:17:00Z,98425.02249999999,Pressure2,room2
,,0,2024-12-16T19:10:22.9851301Z,2024-12-16T19:25:22.9851301Z,2024-12-16T19:17:10Z,98424.27857142859,Pressure2,room2
,,0,2024-12-16T19:10:22.9851301Z,2024-12-16T19:25:22.9851301Z,2024-12-16T19:17:20Z,98424.27,Pressure2,room2
,,0,2024-12-16T19:10:22.9851301Z,2024-12-16T19:25:22.9851301Z,2024-12-16T19:17:30Z,98425.805,Pressure2,room2
,,0,2024-12-16T19:10:22.9851301Z,2024-12-16T19:25:22.9851301Z,2024-12-16T19:17:40Z,98425.12625,Pressure2,room2
,,0,2024-12-16T19:10:22.9851301Z,2024-12-16T19:25:22.9851301Z,2024-12-16T19:17:50Z,98423.51000000001,Pressure2,room2
,,0,2024-12-16T19:10:22.9851301Z,2024-12-16T19:25:22.9851301Z,2024-12-16T19:18:00Z,98423.19625,Pressure2,room2
,,0,2024-12-16T19:10:22.9851301Z,2024-12-16T19:25:22.9851301Z,2024-12-16T19:18:10Z,98422.99124999999,Pressure2,room2
,,0,2024-12-16T19:10:22.9851301Z,2024-12-16T19:25:22.9851301Z,2024-12-16T19:18:20Z,98423.86000000002,Pressure2,room2
,,0,2024-12-16T19:10:22.9851301Z,2024-12-16T19:25:22.9851301Z,2024-12-16T19:18:30Z,98424.8725,Pressure2,room2
,,0,2024-12-16T19:10:22.9851301Z,2024-12-16T19:25:22.9851301Z,2024-12-16T19:18:40Z,98424.01714285716,Pressure2,room2
,,0,2024-12-16T19:10:22.9851301Z,2024-12-16T19:25:22.9851301Z,2024-12-16T19:18:50Z,98422.61875,Pressure2,room2
,,0,2024-12-16T19:10:22.9851301Z,2024-12-16T19:25:22.9851301Z,2024-12-16T19:19:00Z,98422.74,Pressure2,room2
,,0,2024-12-16T19:10:22.9851301Z,2024-12-16T19:25:22.9851301Z,2024-12-16T19:19:10Z,98423.42375,Pressure2,room2
,,0,2024-12-16T19:10:22.9851301Z,2024-12-16T19:25:22.9851301Z,2024-12-16T19:19:20Z,98422.64142857143,Pressure2,room2
,,0,2024-12-16T19:10:22.9851301Z,2024-12-16T19:25:22.9851301Z,2024-12-16T19:19:30Z,98421.78375,Pressure2,room2
,,0,2024-12-16T19:10:22.9851301Z,2024-12-16T19:25:22.9851301Z,2024-12-16T19:19:40Z,98426.63625000001,Pressure2,room2
,,0,2024-12-16T19:10:22.9851301Z,2024-12-16T19:25:22.9851301Z,2024-12-16T19:19:50Z,98425.94428571429,Pressure2,room2
,,0,2024-12-16T19:10:22.9851301Z,2024-12-16T19:25:22.9851301Z,2024-12-16T19:20:00Z,98423.62249999998,Pressure2,room2
,,0,2024-12-16T19:10:22.9851301Z,2024-12-16T19:25:22.9851301Z,2024-12-16T19:20:10Z,98423.46375,Pressure2,room2
,,0,2024-12-16T19:10:22.9851301Z,2024-12-16T19:25:22.9851301Z,2024-12-16T19:20:20Z,98424.78,Pressure2,room2
,,0,2024-12-16T19:10:22.9851301Z,2024-12-16T19:25:22.9851301Z,2024-12-16T19:20:30Z,98425.58142857144,Pressure2,room2
,,0,2024-12-16T19:10:22.9851301Z,2024-12-16T19:25:22.9851301Z,2024-12-16T19:20:40Z,98425.28875,Pressure2,room2
,,0,2024-12-16T19:10:22.9851301Z,2024-12-16T19:25:22.9851301Z,2024-12-16T19:20:50Z,98424.05000000002,Pressure2,room2
,,0,2024-12-16T19:10:22.9851301Z,2024-12-16T19:25:22.9851301Z,2024-12-16T19:21:00Z,98425.73,Pressure2,room2
,,0,2024-12-16T19:10:22.9851301Z,2024-12-16T19:25:22.9851301Z,2024-12-16T19:21:10Z,98425.81571428571,Pressure2,room2
,,0,2024-12-16T19:10:22.9851301Z,2024-12-16T19:25:22.9851301Z,2024-12-16T19:21:20Z,98426.75749999998,Pressure2,room2
,,0,2024-12-16T19:10:22.9851301Z,2024-12-16T19:25:22.9851301Z,2024-12-16T19:21:30Z,98425.8925,Pressure2,room2
,,0,2024-12-16T19:10:22.9851301Z,2024-12-16T19:25:22.9851301Z,2024-12-16T19:21:40Z,98427.99124999999,Pressure2,room2
,,0,2024-12-16T19:10:22.9851301Z,2024-12-16T19:25:22.9851301Z,2024-12-16T19:21:50Z,98430.21,Pressure2,room2
,,0,2024-12-16T19:10:22.9851301Z,2024-12-16T19:25:22.9851301Z,2024-12-16T19:22:00Z,98428.26750000002,Pressure2,room2
,,0,2024-12-16T19:10:22.9851301Z,2024-12-16T19:25:22.9851301Z,2024-12-16T19:22:10Z,98427.70625,Pressure2,room2
,,0,2024-12-16T19:10:22.9851301Z,2024-12-16T19:25:22.9851301Z,2024-12-16T19:22:20Z,98427.62125,Pressure2,room2
,,0,2024-12-16T19:10:22.9851301Z,2024-12-16T19:25:22.9851301Z,2024-12-16T19:22:30Z,98427.86142857143,Pressure2,room2
,,0,2024-12-16T19:10:22.9851301Z,2024-12-16T19:25:22.9851301Z,2024-12-16T19:22:40Z,98426.88,Pressure2,room2
,,0,2024-12-16T19:10:22.9851301Z,2024-12-16T19:25:22.9851301Z,2024-12-16T19:22:50Z,98427.07125,Pressure2,room2
,,0,2024-12-16T19:10:22.9851301Z,2024-12-16T19:25:22.9851301Z,2024-12-16T19:23:00Z,98426.485,Pressure2,room2
,,0,2024-12-16T19:10:22.9851301Z,2024-12-16T19:25:22.9851301Z,2024-12-16T19:23:10Z,98428.24428571427,Pressure2,room2
,,0,2024-12-16T19:10:22.9851301Z,2024-12-16T19:25:22.9851301Z,2024-12-16T19:23:20Z,98428.33875,Pressure2,room2
,,0,2024-12-16T19:10:22.9851301Z,2024-12-16T19:25:22.9851301Z,2024-12-16T19:23:30Z,98428.4225,Pressure2,room2
,,0,2024-12-16T19:10:22.9851301Z,2024-12-16T19:25:22.9851301Z,2024-12-16T19:23:40Z,98430.11285714286,Pressure2,room2
,,0,2024-12-16T19:10:22.9851301Z,2024-12-16T19:25:22.9851301Z,2024-12-16T19:23:50Z,98428.26857142858,Pressure2,room2

